timestamp,proceso,mensaje,log_category,run_name
2026-09-11 13:43:46.580,Server,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,INFO,10
2026-09-11 13:43:46.580,Server,UTC adjustment: 0:00,INFO,10
2026-09-11 13:43:46.580,Server,(c) Microsoft Corporation.,INFO,10
2026-09-11 13:43:46.580,Server,All rights reserved.,INFO,10
2026-09-11 13:43:46.580,Server,Server process ID is 456.,INFO,10
2026-09-11 13:43:46.590,Server,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,ERROR,10
2026-09-11 13:43:46.590,Server,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,ERROR,10
2026-09-11 13:43:46.600,Server,"SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.",INFO,10
2026-09-11 13:43:46.600,Server,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,STARTUP,10
2026-09-11 13:43:46.600,Server,"Detected 3916 MB of RAM, 2959 MB of available memory, 2959 MB of available page file. This is an informational message; no user action is required.",INFO,10
2026-09-11 13:43:46.610,Server,Using conventional memory in the memory manager.,INFO,10
2026-09-11 13:43:46.610,Server,Detected pause instruction latency: 140 cycles.,PERFORMANCE,10
2026-09-11 13:43:46.610,Server,"SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).",CONFIGURATION,10
2026-09-11 13:43:46.610,Server,Page exclusion bitmap is enabled.,INFO,10
2026-09-11 13:43:46.670,Server,Buffer pool extension is not supported on Linux platform.,INFO,10
2026-09-11 13:43:46.680,Server,Buffer Pool: Allocating 4194304 bytes for 465302 hashPages.,INFO,10
2026-09-11 13:43:46.900,Server,Buffer pool extension is already disabled. No action is necessary.,INFO,10
2026-09-11 13:43:47.460,Server,Installing Client TLS certificates to the store.,INFO,10
2026-09-11 13:43:47.480,Server,CPU vectorization level(s) detected: SSE SSE2 SSE3 SSSE3 SSE41 SSE42 AVX AVX2 POPCNT BMI1 BMI2 AVX512 (F CD BW DQ VL IFMA VBMI VBMI2 VNNI BITALG VPOQCNTDQ VP2INTERSECT),INFO,10
2026-09-11 13:43:47.600,Server,Successfully initialized the TLS configuration. Allowed TLS protocol versions are ['1.0 1.1 1.2']. Allowed TLS ciphers are ['ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-ECDSA-AES256-SHA384:ECDHE-ECDSA-AES256-SHA:ECDHE-ECDSA-AES128-SHA:AES256-GCM-SHA384:AES128-GCM-SHA256:AES256-SHA256:AES128-SHA256:AES256-SHA:AES128-SHA:!DHE-RSA-AES256-GCM-SHA384:!DHE-RSA-AES128-GCM-SHA256:!DHE-RSA-AES256-SHA:!DHE-RSA-AES128-SHA'].,CONFIGURATION,10
2026-09-11 13:43:47.660,Server,"Query Store settings initialized with enabled = 1,",CONFIGURATION,10
2026-09-11 13:43:47.690,Server,The maximum number of dedicated administrator connections for this instance is '1',INFO,10
